Wd,Wn,Wout,Ib,N,DC Gain,GB,SR,Custo
2.5278605663631628e-05,3.590172151810813e-05,4.083482587188729e-05,6.306996632360634e-05,47,1128.9453629457914,13182567.385563815,23636074.0,0.1980004001996772
3.262306924901439e-05,4.2479477566889525e-06,1.2614538642406624e-05,8.100740364020732e-05,28,1074.5195879583007,23442288.15319876,34467176.0,0.2045247192755891
2.1157698742026148e-05,8.654247753170988e-06,4.357990533923081e-05,6.148823164330895e-05,9,1450.2378320092891,16218100.97358898,26648886.0,0.15948529250778665
2.9171663984304634e-05,2.482635886402794e-05,2.355578731598093e-05,2.0700451900536033e-05,46,1288.1957860040898,6918309.709189237,9402077.0,0.17891017000552564
2.173332912703915e-05,6.776783299393808e-06,3.4392507618134686e-05,8.012620472524445e-05,30,1373.4887165307073,18197008.586099476,30448794.0,0.16868563404249823
8.027276374961634e-06,5.0891739870295234e-06,3.7687361769394865e-06,4.186048262493887e-05,32,576.4772403147606,9332543.007969735,18128100.0,0.2642278138128654
2.9868676960973832e-05,1.6748652274145307e-05,3.46812459768288e-05,2.2144935197775733e-05,22,1423.2684330583852,7943282.347242667,9675315.0,0.16271826372559114
4.3892913496993095e-05,1.7118085642881226e-05,3.787431466645236e-05,3.243422567024066e-05,45,1411.9145385001445,9772372.209557923,12204531.0,0.1640793179479563
4.117923698181973e-05,1.0885598152957317e-06,2.6496620355371312e-05,2.2680755475109472e-05,11,2234.5349498918877,8912509.381337289,10162754.0,0.06546725328721055
1.1329118435542489e-05,1.4521589359530732e-05,4.6687060914521476e-05,9.546258826789345e-05,19,1078.7469710022467,15488166.18912451,36614184.0,0.20401795945744883
3.203605373149138e-05,1.6611784756497104e-05,6.987105195475851e-06,9.148785193419851e-05,2,543.411342725998,13803842.64602858,48280430.0,0.26819160608684034
2.0956868109294713e-05,3.086532071123027e-05,4.520018256914968e-05,8.435575653370146e-05,25,1075.7103653655295,17782794.100388877,33299574.0,0.20438197419286067
2.6841434295137263e-05,2.0654984177087797e-05,3.8320376912195755e-05,7.319656915518863e-05,19,1175.6304205952615,19054607.179632097,30484676.0,0.19240400378175773
4.979803516001786e-05,1.6934776211594492e-05,6.403511247229576e-06,2.008395375502756e-05,22,931.0022118061926,8511380.382023606,35737250.0,0.22172894200221513
2.4997914757722096e-05,1.1417455458594819e-05,4.001843942005442e-05,7.044531292509871e-05,36,1332.7821450829306,16218100.97358898,25519244.0,0.17356535620856275
2.154171767084509e-05,3.4957516331193815e-05,1.0149209419096379e-05,7.266843212717197e-05,39,608.4360012497523,17378008.28749341,34203750.0,0.26039674014127145
4.074640289872497e-05,3.3200416027206365e-05,1.586891319244064e-05,9.245897229479681e-05,47,742.2420722533881,22908676.52767728,40609024.0,0.24435666534725167
1.89769556474552e-05,2.5928860677172408e-05,1.549922576544741e-05,9.707600938400356e-05,11,684.5931981145094,21379620.8950219,42918944.0,0.25126735516904253
3.637180895981725e-06,9.239587393834482e-06,1.5169875434892716e-05,6.886366644168411e-06,36,1334.552937848305,2187761.6239495156,3448582.0,0.27556987042196657
2.5582845362765175e-05,2.104659992613619e-05,1.2803004337608917e-05,4.110199789257894e-06,36,1393.8290964601929,2089296.1308540045,2572329.2,0.30151021334798983
2.0657756838614057e-05,4.722073053718133e-05,1.8793667760927802e-05,7.696572840564227e-05,42,760.3657644173419,16218100.97358898,35325188.0,0.2421840779924843
3.317244646600002e-05,9.73176681456224e-06,1.1082869548173547e-05,6.56160036383095e-05,42,887.4353256468329,19498445.99758007,27979458.0,0.2269515459341375
1.247800493417481e-05,2.3004389401370797e-05,1.5180957550356776e-05,5.382425348376417e-05,37,832.306607631935,12022644.3461739,23689422.0,0.23356013068387846
4.9080023666089424e-05,4.4401625180065564e-05,2.0392455795421016e-05,3.052833160221367e-06,14,1438.336370753045,3311311.2148258532,5450574.0,0.19287461320596608
1.2316156221505327e-05,1.3705007317514511e-05,3.659329112894465e-05,8.408084419510971e-05,21,1073.4943009296808,15135612.484361785,33264404.0,0.20464762611009255
4.776452418536921e-05,1.1512541441062425e-06,2.8454976780667718e-05,5.496364727717378e-05,36,2144.595086228443,16982436.52461711,20929610.0,0.07624884286162077
4.2444050110275876e-05,4.991069186335544e-05,2.1906770962163457e-05,7.977373490610109e-05,49,858.093808827654,19054607.179632097,35717660.0,0.23046887605839492
2.038887667863067e-05,2.7495309538404735e-05,1.6389829005024748e-05,4.398653563252876e-05,30,953.1486386922245,12589254.11794143,20453970.0,0.21907412715706065
4.003204746038292e-05,4.224294073411066e-05,3.428405136167349e-05,3.838010911826514e-05,27,1219.6744081128347,12302687.70812358,17808074.0,0.1871242070676793
2.4070456102910245e-06,3.8785596185091355e-05,3.292924776277008e-05,7.022572291217843e-05,14,607.4112247647445,6456542.290346436,24100920.0,0.26051958577408457
3.606310492780923e-05,8.098591564286407e-06,1.0244182143839581e-05,5.0436855962951454e-05,42,973.6277829568403,16218100.97358898,21887844.0,0.21661917871370462
2.7575606732635006e-05,3.830269764297531e-05,4.436697050247063e-05,1.0638924750772335e-05,38,1423.5059842598575,3630780.5477009495,4810855.0,0.21012329087518336
2.6409388820102967e-05,2.6632097839716108e-05,1.6988725964418965e-05,1.7868097260350512e-05,19,1223.9593408918645,7079457.843841248,8839989.0,0.18661054844406486
4.969611097170131e-05,1.9180756938819386e-05,4.149769583749078e-05,3.918630359973793e-05,12,1400.4150233695113,14125375.446227267,17546916.0,0.16545782851482968
4.6900129146199684e-05,5.525029186688633e-06,3.776775395308885e-05,6.37154403668815e-05,41,1648.8527580920747,17782794.100388877,22609118.0,0.13567622132229448
8.463808192298562e-06,4.963691211816181e-05,5.012828128904997e-06,7.540461828111321e-05,28,316.90320553180493,12022644.3461739,34505220.0,0.2953443909701976
1.8648616209808465e-05,4.352810325118421e-05,2.5218646717927882e-05,9.548270788941582e-05,7,785.7316990661853,20417379.446694892,43069050.0,0.23914332292108986
3.6514907214065506e-06,5.970298275889987e-06,4.224098086465469e-05,7.192728791030838e-05,26,1039.7050433862323,7244359.600749766,23345910.0,0.20869813154804526
3.551260105686427e-05,9.724844382611693e-06,3.3192768805452274e-05,9.667444150095845e-05,18,1274.2629446394058,26302679.9189533,39928816.0,0.18058037686464992
1.788466237411338e-05,4.374212287111049e-05,2.1493810928517776e-05,5.9630654507541565e-05,45,879.8282646561748,12882495.51693109,27392392.0,0.22786344646553794
4.884605820858031e-06,2.122965702962927e-05,4.864329753216885e-05,1.839504663228711e-05,9,1268.3063405773796,4786300.923226297,8210928.5,0.18129442798323234
4.3022693592986636e-05,1.3917547263958997e-05,4.387055236091696e-05,3.389425702604846e-05,38,1484.0195266500511,10232929.922807349,12512879.0,0.1554356936768649
4.8084642603323325e-05,1.2248440669246966e-05,4.6889134000594296e-05,6.717846669086851e-05,9,1464.8016553862496,21379620.8950219,29407078.0,0.15773944634026119
4.241030954127978e-05,2.1556695354147392e-05,4.335443625925619e-05,9.629031989631805e-05,11,1196.6688234046767,27542287.03338112,41606844.0,0.18988201391927562
3.19880221424849e-05,4.306776142809611e-05,4.3832696497957734e-05,7.44511491882209e-05,36,1106.3261091041045,16982436.52461711,29547586.0,0.20071189543068
7.871930832548832e-06,5.474423422511336e-06,4.536548229587018e-05,4.319091447262472e-05,27,1451.3850510346058,8128305.1616408415,15864017.0,0.15934776900953895
4.394462320996133e-05,4.454443917156919e-05,4.358713241344431e-06,2.4171924343299666e-05,31,651.6390544330079,9120108.393558927,33501046.0,0.25521775088322346
4.645035800007243e-05,2.2976693097745807e-05,4.172381572699704e-05,6.494718882852465e-05,42,1269.0884020560886,16595869.07437528,23795088.0,0.18120067794246122
1.421113864226695e-05,4.184391408578414e-06,1.7952158458139033e-05,9.036890097111992e-05,43,1087.9769415896722,16982436.52461711,34292412.0,0.20291151176446723
8.260679685747106e-06,6.954844307893154e-06,2.5667189657323375e-05,4.7959008594109215e-05,4,1220.3759564775023,9999999.999999812,21470418.0,0.1870401085797969
